instancia,metodo,encontrada,contrasena,candidatos_evaluados,tiempo_ms
"Referencia",FB,SI,"abc12",1776521,2442.913
"Referencia",Dicc,NO,"",500,0.736
"Equipo-1",FB,SI,"oxgb",279346,382.273
"Equipo-1",Dicc,NO,"",500,0.750
"Equipo-2",FB,SI,"0lav",1273990,1760.681
"Equipo-2",Dicc,NO,"",500,0.712
"Equipo-3",FB,SI,"krcxa",5345055,7426.809
"Equipo-3",Dicc,NO,"",500,0.701
"Equipo-4",FB,SI,"xi7st",40774124,55853.979
"Equipo-4",Dicc,NO,"",500,0.752
"Equipo-5",FB,SI,"ulorkn",255268014,362174.681
"Equipo-5",Dicc,NO,"",500,0.722
